seed,success_rate,collision_rate,escape_rate,mean_final_distance,mean_final_speed,mean_fuel,mean_safety_violations,mean_return,prior_success_rate,prior_mean_return,actor_weight_change,critic_weight_norm
7,0.888,0.112,0.0,1.1416967661223534,0.031083847490849036,3.529825604502394,0.0,212.30138544614493,0.0,-360.0958113364802,1.3494383025575376,21.93602146102252
17,1.0,0.0,0.0,1.3595477476671536,0.029606144314877653,3.5347764736729976,0.0,329.44460092616816,0.0,-436.80923972025084,1.274626604276147,20.846133797700436
27,1.0,0.0,0.0,1.3912502911649793,0.023569144963997653,3.58772632543784,0.0,328.6755340933186,0.0,-379.15602203499685,1.3124693519234099,19.83898755404883
